State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Sex_ratio,literacy_rate
Andhra Pradesh,Adilabad,19.28451395,78.81321233,532,2741239,1369597,1371642,1483347,5512,100.149314,54.1122828
Andhra Pradesh,Anantapur,14.31206556,77.46015845,553,4081148,2064495,2016653,2310960,8606,97.68262941,56.62524368
Andhra Pradesh,Chittoor,13.33109263,78.92763899,554,4174064,2090204,2083860,2667878,13763,99.69648896,63.9155988
Andhra Pradesh,East Godavari,16.78271832,82.24320747,545,5154296,2569688,2584608,3288577,22411,100.5806152,63.80264152
Andhra Pradesh,Guntur,15.88492577,80.58657614,548,4887813,2440521,2447292,2960441,19383,100.2774408,60.56780405
Andhra Pradesh,Hyderabad,17.38971556,78.46668889,536,3943323,2018575,1924748,2892155,149034,95.35181997,73.3430916
Andhra Pradesh,Karimnagar,18.51548319,79.43765429,534,3776269,1880800,1895469,2206829,8831,100.7799341,58.43940143
Andhra Pradesh,Khammam,17.68392133,80.67008644,541,2797370,1390988,1406382,1630234,8628,101.1066954,58.27738197
Andhra Pradesh,Krishna,16.14387275,81.14805061,547,4517398,2267375,2250023,3009718,30438,99.23470974,66.62503503
Andhra Pradesh,Kurnool,15.43759715,77.90086837,552,4053463,2039227,2014236,2127161,10081,98.77448661,52.47762222
Andhra Pradesh,Mahbubnagar,16.63954622,77.98933089,538,4053028,2050386,2002642,1940646,6153,97.67146284,47.88138646
Andhra Pradesh,Medak,17.88930498,78.13778902,535,3033288,1523030,1510258,1637137,8635,99.16140851,53.97235607
Andhra Pradesh,Nalgonda,17.11325052,79.16984454,539,3488809,1759772,1729037,2001019,7715,98.25346693,57.3553611
Andhra Pradesh,Nizamabad,18.42948585,78.07523491,533,2551335,1250641,1300694,1389810,5261,104.0021877,54.47383429
Andhra Pradesh,Prakasam,15.489039,80.1166579,549,3397448,1714764,1682684,1904435,6151,98.12918862,56.05486824
Andhra Pradesh,Srikakulam,18.570901,84.25874814,542,2703114,1341738,1361376,1495381,3988,101.463624,55.3206783
Andhra Pradesh,Vizianagaram,18.28329696,83.45982854,543,2344474,1161477,1182997,1238388,4453,101.8528133,52.82157106
Andhra Pradesh,Warangal,18.01752609,79.87422029,540,3512576,1759281,1753295,2065023,12952,99.65974736,58.78941836
Andhra Pradesh,West Godavari,16.63297944,81.45912991,546,3936966,1964918,1972048,2652389,12050,100.362865,67.37139716
Arunachal Pradesh,Changlang,27.36048479,96.37552645,253,148226,76948,71278,73174,170,92.63138743,49.3665079
Arunachal Pradesh,East Kameng,27.37119406,93.04741486,247,78690,38775,39915,38449,57,102.9400387,48.86135468
Arunachal Pradesh,East Siang,28.15382353,95.06499226,251,99214,50116,49098,62576,450,97.96871259,63.07174391
Arunachal Pradesh,Kurung Kumey,28.04853352,93.24531994,256,92076,45318,46758,36606,95,103.1775453,39.75628828
Arunachal Pradesh,Lohit,27.94678527,96.59670771,259,145726,76221,69505,83062,312,91.18878,56.99875108
Arunachal Pradesh,Lower Dibang Valley,28.3265173,95.76567336,258,54080,28053,26027,31849,207,92.77795601,58.89238166
Arunachal Pradesh,Lower Subansiri,27.70849297,93.96226108,255,83030,41843,41187,54057,381,98.43223478,65.1053836
Arunachal Pradesh,Papum Pare,27.27352972,93.54468184,248,176573,89182,87391,121048,2477,97.99174721,68.55408245
Arunachal Pradesh,Tawang,27.68068396,91.82504245,245,49977,29151,20826,26073,96,71.44180303,52.1699982
Arunachal Pradesh,Tirap,26.9440623,95.41470328,254,111975,57604,54371,47974,98,94.38754253,42.84349185
Arunachal Pradesh,Upper Siang,28.83092449,95.00155765,252,35320,18699,16621,18195,97,88.88710626,51.51472254
Arunachal Pradesh,Upper Subansiri,28.27719657,93.89914356,249,83448,41758,41690,45278,139,99.83715695,54.2589397
Arunachal Pradesh,West Kameng,27.46486582,92.6501575,246,83947,46155,37792,48492,202,81.88061965,57.7650184
Arunachal Pradesh,West Siang,28.10629692,94.53510344,250,112274,58168,54106,64746,303,93.01677899,57.6678483
Assam,Barpeta,26.42787226,90.9791201,303,1693622,867004,826618,897058,2078,95.34189,52.96683676
Assam,Bongaigaon,26.45012522,90.67342962,319,738804,375818,362986,434078,2523,96.58558132,58.7541486
Assam,Cachar,24.81557067,92.8684965,316,1736617,886284,850333,1174128,5316,95.94362529,67.61007177
Assam,Darrang,26.58463216,92.04141338,325,928500,475273,453227,487039,1166,95.36140281,52.4543888
Assam,Dhemaji,27.58653344,94.71336909,308,686133,351249,334884,423028,1192,95.340912,61.6539359
Assam,Dibrugarh,27.30612284,95.09982823,310,1326335,676434,649901,884531,8817,96.07751828,66.68986342
Assam,Goalpara,26.01727778,90.59869892,302,1008183,513292,494891,563577,1364,96.41510096,55.90026811
Assam,Golaghat,26.37721971,93.82583398,313,1066888,543161,523727,721764,3073,96.42205534,67.65133735
Assam,Hailakandi,24.45749609,92.59154665,318,659296,337890,321406,407366,1211,95.12148924,61.78802844
Assam,Jorhat,26.76244824,94.30197723,312,1092256,556805,535451,794929,5651,96.16490513,72.77863431
Assam,Kamrup,26.17093945,91.58863274,321,1517542,778461,739081,995319,3109,94.94130085,65.58757517
Assam,Karbi Anglong,26.08966455,93.1153657,314,956313,490167,466146,557214,1923,95.0994253,58.26690634
Assam,Karimganj,24.69660712,92.36794986,317,1228686,625864,602822,795297,1933,96.31836949,64.72744053
Assam,Kokrajhar,26.49724664,90.13997471,300,887142,452905,434237,489305,1218,95.87816429,55.15520627
Assam,Lakhimpur,27.14128806,94.07759493,307,1042137,529674,512463,683486,1948,96.75064285,65.58504304
Assam,Nagaon,26.26462171,92.93061911,305,2823768,1439112,1384656,1710716,5121,96.21599987,60.58273909
